#{"t_start": 1765429416.0832653, "env_id": "None"}
r,l,t
298.8,98,0.677701
268.6,99,1.175273
314.6,94,1.694869
285.0,92,2.309479
313.4,100,2.928298
301.6,84,3.287776
301.2,86,3.833785
314.6,94,4.251184
331.6,84,4.645693
328.6,99,5.065623
284.4,95,43.476447
314.6,94,43.99852
329.2,96,44.467897
284.4,95,44.931068
285.2,91,45.386675
299.0,97,45.865779
299.2,96,46.339103
329.2,96,46.84613
331.4,85,47.181721
283.4,100,47.525579
329.8,93,47.892783
299.0,97,89.819427
329.4,95,90.29744
300.2,91,90.739602
285.0,92,91.19905
313.4,100,91.614481
313.4,100,92.056295
284.2,96,92.428956
283.6,99,92.842691
300.0,92,93.226165
283.4,100,93.614369
298.6,99,93.97083
283.4,100,138.120285
299.8,93,138.559129
300.6,89,139.022482
285.0,92,139.467319
329.0,97,139.982389
270.4,90,140.421776
313.8,98,140.920527
298.6,99,141.408323
298.8,98,141.965049
299.8,93,142.388685
328.8,98,142.77903
299.4,95,187.381881
328.6,99,187.955739
284.4,95,188.518819
299.2,96,189.31269
298.4,100,189.978552
269.0,97,190.487074
299.4,95,190.935308
298.4,100,191.445327
271.6,84,191.857683
299.4,95,192.360362
314.2,96,235.860397
299.2,96,236.311112
328.4,100,236.81649
268.6,99,237.326895
314.2,96,237.804711
299.4,95,238.284182
328.6,99,238.768934
284.0,97,239.249914
299.0,97,239.629053
298.4,100,240.070481
298.4,100,240.490004
329.2,96,283.901275
314.0,97,284.440388
302.0,82,284.830604
284.2,96,285.340504
313.4,100,285.898917
299.8,93,286.420387
313.6,99,286.903287
284.0,97,287.258154
314.0,97,287.695078
301.2,86,288.014554
299.0,97,288.423563
284.4,95,328.409744
330.4,90,328.894886
284.2,96,329.403057
314.2,96,329.946881
299.2,96,330.56657
299.4,95,331.055561
298.4,100,331.605759
328.4,100,332.189743
300.4,90,332.645073
284.2,96,333.116517
298.8,98,371.308463
300.8,88,371.789314
299.2,96,372.303862
314.6,94,372.823947
300.8,88,373.316538
330.0,92,373.81124
299.8,93,374.251445
299.2,96,374.802952
298.6,99,375.223069
343.6,99,375.646455
301.8,83,376.016231
298.4,100,414.138479
269.2,96,414.675489
313.4,100,415.169353
313.4,100,415.705014
314.2,96,416.171242
315.2,91,416.630445
315.6,89,417.136206
300.2,91,417.617141
315.4,90,418.041587
313.8,98,418.519838
284.8,93,418.938241
299.0,97,459.470974
300.2,91,459.94649
313.8,98,460.476664
300.2,91,460.963986
284.2,96,461.487332
284.4,95,461.935701
328.6,99,462.382115
313.6,99,462.777511
315.4,90,463.203537
299.4,95,463.703252
313.8,98,464.204188
316.0,87,504.030645
313.8,98,504.521188
315.0,92,505.007278
269.6,94,505.495265
283.8,98,505.94666
299.2,96,506.436661
299.4,95,507.005929
268.8,98,507.431118
299.2,96,507.877711
283.8,98,508.347027
285.2,91,508.833706
284.0,97,548.568982
269.4,95,549.315677
331.2,86,549.866483
285.6,89,550.348338
283.4,100,550.886432
269.6,94,551.314244
268.8,98,551.75495
299.4,95,552.161934
344.8,93,552.59705
298.4,100,553.077613
299.8,93,553.505527
