#{"t_start": 1765485402.7523077, "env_id": "None"}
r,l,t
313.6,99,0.952741
283.6,99,1.500977
314.0,97,2.476074
300.4,90,3.138825
313.4,100,3.951894
329.0,97,4.651192
330.0,92,5.286521
301.2,86,5.82085
299.4,95,6.487045
330.6,89,7.015594
283.4,100,51.841279
328.8,98,52.3506
298.4,100,53.048503
313.4,100,53.857959
315.6,89,54.621134
302.4,80,55.395336
314.0,97,56.180448
284.2,96,57.016218
317.8,78,57.54997
268.4,100,58.10751
314.0,97,58.697854
285.6,89,191.281734
298.6,99,192.680569
298.6,99,199.121556
328.6,99,206.848037
313.6,99,208.314662
314.0,97,209.849206
313.4,100,211.40855
314.6,94,214.493478
298.4,100,218.946709
283.6,99,222.015617
329.4,95,225.15942
314.6,94,369.27122
299.6,94,370.174472
313.6,99,370.887877
284.6,94,371.564816
313.4,100,372.270638
304.2,71,372.71999
283.4,100,373.383792
302.4,80,373.957182
299.8,93,374.749667
298.4,100,375.51432
301.0,87,376.217721
268.8,98,443.779063
313.4,100,444.649408
301.0,87,445.453398
314.2,96,446.291454
283.8,98,447.172352
299.6,94,447.84261
283.8,98,448.470997
284.4,95,449.029368
298.4,100,449.664391
299.6,94,450.293472
286.6,84,450.802349
313.4,100,612.481329
299.0,97,614.810491
328.6,99,617.199059
284.2,96,619.588187
284.0,97,621.996909
301.8,83,624.347788
343.4,100,626.812155
299.8,93,629.133936
253.6,99,631.470873
299.8,93,633.88957
328.4,100,841.296972
301.4,85,842.761488
299.4,95,846.685039
298.6,99,850.48142
285.4,90,851.295326
283.4,100,851.990737
299.4,95,852.609705
283.6,99,853.298125
284.4,95,853.880785
313.6,99,855.06956
330.6,89,855.956465
329.0,97,924.996523
328.6,99,925.635366
344.2,96,926.209545
314.4,95,926.832961
314.2,96,927.385659
314.4,95,927.926679
329.2,96,928.515313
300.0,92,929.071447
313.4,100,929.661001
316.2,86,930.230076
299.0,97,930.810868
283.4,100,1014.442105
299.8,93,1016.766287
268.6,99,1019.207015
313.8,98,1022.04908
283.4,100,1024.183729
299.8,93,1026.421625
285.6,89,1028.62193
313.6,99,1030.999882
269.2,96,1033.424425
314.4,95,1035.712921
286.4,85,1038.002254
283.6,99,1232.729225
313.6,99,1235.129817
313.6,99,1237.551369
329.0,97,1240.644455
283.6,99,1243.110196
284.4,95,1245.395921
313.6,99,1247.760971
313.8,98,1250.251662
299.2,96,1255.092158
301.4,85,1257.391524
328.4,100,1339.519872
283.6,99,1340.14198
283.8,98,1340.759722
298.4,100,1341.337579
301.0,87,1341.882067
300.6,89,1342.400182
300.8,88,1342.919149
330.6,89,1343.428003
299.6,94,1344.026081
328.6,99,1344.685236
298.8,98,1345.343396
313.4,100,1521.778146
299.6,94,1526.695963
313.4,100,1532.081413
298.4,100,1533.939728
329.0,97,1535.333972
300.4,90,1536.704547
314.6,94,1541.400474
313.8,98,1543.099599
299.0,97,1544.938933
283.4,100,1550.64361
328.4,100,1553.546776
328.4,100,1641.411018
284.4,95,1641.966494
284.6,94,1642.62351
299.6,94,1643.280128
283.8,98,1643.968773
313.8,98,1644.655553
286.0,87,1645.203489
318.8,73,1645.752214
284.0,97,1646.560128
329.6,94,1647.382396
314.4,95,1648.054816
